#{"t_start": 1761630870.0897925, "env_id": "None"}
r,l,t
1991.416018,200,12.600654
1958.946596,200,12.692109
1973.460959,200,12.779481
1958.023193,200,12.862168
1943.781634,200,12.946975
2056.755332,200,25.058833
2027.700107,200,25.146787
2048.385982,200,25.253007
2038.907997,200,25.362462
2031.845384,200,25.473669
2061.978381,200,38.789591
2009.902249,200,38.879516
2072.680695,200,38.968543
2078.551264,200,39.059068
2049.924833,200,39.150179
2065.438564,200,52.499001
2017.498612,200,52.589778
2046.511265,200,52.681843
2096.950548,200,52.837762
2048.587535,200,52.944093
2009.206446,200,66.033642
2036.59859,200,66.127745
2040.389355,200,66.220292
2012.941784,200,66.307375
2073.363024,200,66.399523
2044.715124,200,80.579197
2068.301985,200,80.676477
2038.897345,200,80.769808
1998.357577,200,80.862157
2047.089019,200,81.011487
2033.23407,200,95.294542
2049.364357,200,95.404351
2043.698884,200,95.505419
2086.113808,200,95.607918
2091.720364,200,95.701639
2037.70279,200,109.720889
2035.205295,200,109.853124
2081.767972,200,109.976842
2027.971052,200,110.097199
2074.738187,200,110.209495
2028.009225,200,122.294728
2045.268623,200,122.38452
2063.36581,200,122.477503
2017.502906,200,122.567775
2065.576746,200,122.660393
2054.146214,200,135.702541
2067.772158,200,135.79546
2031.436612,200,135.890863
2049.512587,200,135.988655
2045.093636,200,136.080758
2057.26145,200,149.25425
2023.605228,200,149.34592
2020.507521,200,149.439446
2059.664775,200,149.530307
2041.792752,200,149.623174
2041.011297,200,164.441339
2045.681731,200,164.555374
2035.275793,200,164.665857
2082.436418,200,164.789914
2025.79103,200,164.927845
2025.729848,200,192.767853
2038.216557,200,193.005961
2009.74912,200,193.214978
1993.397443,200,193.453431
2032.408799,200,193.747272
2036.596971,200,215.382776
2029.920168,200,215.511113
2033.150388,200,215.689141
2027.45483,200,215.822786
2064.832459,200,215.995465
2019.200297,200,239.741671
2043.382608,200,239.88818
2079.11098,200,240.038311
2031.949684,200,240.170154
2065.840283,200,240.316179
2034.71665,200,257.172798
2033.232842,200,257.355691
2047.603084,200,257.511075
2075.502277,200,257.651272
2054.161829,200,257.782707
2003.45142,200,273.953607
2017.727906,200,274.091137
2012.763666,200,274.219934
1989.547535,200,274.360772
2032.985277,200,274.500502
2029.440244,200,297.936935
2034.372638,200,298.148077
2032.201364,200,298.346247
2026.729052,200,298.584739
2047.271287,200,298.85606
2045.886193,200,325.743283
2036.349159,200,325.901043
2045.719129,200,326.025209
2043.102748,200,326.288878
2012.700124,200,326.53302
1940.875252,200,346.864144
1987.713317,200,347.001509
1985.593587,200,347.12356
1983.676708,200,347.287318
2019.879481,200,347.42411
1968.657072,200,370.464118
1989.870777,200,370.588073
1970.223136,200,370.766238
2006.609438,200,370.883302
1998.026867,200,370.99983
1960.9562,200,392.071546
1991.383287,200,392.351794
2010.225299,200,392.650603
1954.923167,200,392.974237
2003.327881,200,393.250221
2042.746819,200,416.570765
2041.348491,200,416.76643
2022.291363,200,416.946799
2049.495625,200,417.165967
2055.253918,200,417.36276
2015.118617,200,438.918111
2054.182833,200,439.106976
2068.598115,200,439.269668
2057.702184,200,439.470573
2081.829565,200,439.689019
2039.647369,200,461.724139
2049.528446,200,461.955452
2061.36942,200,462.096849
2060.66571,200,462.28421
2023.525574,200,462.482079
2034.346559,200,483.407377
2060.999218,200,483.617707
2028.168169,200,483.753543
2040.386971,200,483.896445
2044.4882,200,484.140153
1997.495221,200,506.812118
2071.873815,200,507.037604
2043.637767,200,507.216618
2064.006093,200,507.429874
2064.186391,200,507.672603
2071.562186,200,529.527235
2043.01654,200,529.699486
2017.198435,200,529.916066
2023.056989,200,530.110074
2061.111164,200,530.339617
2072.109558,200,552.500236
2066.594745,200,552.769647
2037.943499,200,552.999094
2010.133279,200,553.199102
2066.488909,200,553.411305
2050.11448,200,573.587317
2042.182131,200,573.741869
2028.756358,200,573.864498
2031.520748,200,574.003252
2044.264393,200,574.163178
2049.32301,200,593.4235
2020.158363,200,593.540036
2040.371824,200,593.644767
2030.33365,200,593.817921
2046.574311,200,593.934089
2042.816037,200,612.583933
2031.970634,200,612.79692
2020.218037,200,612.973057
2046.093633,200,613.123789
2070.618593,200,613.287269
2083.296005,200,632.605554
2032.605987,200,632.777377
2043.091228,200,632.883257
1990.268279,200,633.053238
2028.563627,200,633.185666
2015.137563,200,652.957739
2074.565514,200,653.170373
2039.382499,200,653.334742
2062.257415,200,653.493721
2075.090078,200,653.837374
2040.467491,200,677.097236
2070.756641,200,677.439226
2023.022563,200,677.68732
2037.672673,200,677.904491
2059.070454,200,678.102685
2039.574874,200,701.317696
2065.823133,200,701.585601
2042.871284,200,701.81908
2075.624951,200,702.085162
2061.685991,200,702.377798
2039.542105,200,732.216558
2049.24159,200,732.391172
2065.738037,200,732.547648
2031.721302,200,732.679249
2042.052653,200,732.872131
2056.773535,200,751.610635
2042.809006,200,751.724128
2021.408827,200,751.888894
2044.335735,200,752.094859
2051.47453,200,752.272549
2018.58271,200,771.332164
2056.688743,200,771.456525
2063.730606,200,771.61252
2024.098969,200,771.725294
2068.231411,200,771.92478
2067.649456,200,794.653888
2040.589816,200,794.767114
2035.364085,200,794.903198
2069.143842,200,795.039769
2030.811423,200,795.210936
2039.0304,200,815.679515
2061.415721,200,815.88417
2039.929576,200,816.114334
2075.635941,200,816.343979
2038.07252,200,816.587002
2029.566764,200,837.98732
2021.97279,200,838.100211
2024.347359,200,838.219062
2036.956122,200,838.364092
2022.032664,200,838.481824
2049.004431,200,856.713428
2033.355968,200,856.875911
2084.453996,200,857.013069
2025.886287,200,857.141345
2068.458171,200,857.294372
2056.555498,200,875.584156
2015.948803,200,875.730286
2028.015114,200,875.841157
2000.01648,200,875.951044
2051.378737,200,876.057892
2045.632732,200,894.860195
2040.821564,200,895.119156
2057.085217,200,895.305377
2069.873992,200,895.473928
2060.677341,200,895.632041
2046.716907,200,919.10896
2072.932848,200,919.332039
2037.250324,200,919.460554
