#{"t_start": 1760377193.963796, "env_id": "None"}
r,l,t
1993.443221,200,6.722617
2052.267308,200,6.798618
2039.584346,200,6.871196
1817.576647,200,6.941366
1833.823325,200,7.010019
2073.555182,200,7.07702
1941.530548,200,7.148252
2086.583803,200,7.217152
1997.921954,200,7.292228
1812.629369,200,7.366194
2194.991682,200,7.437149
1860.473049,200,7.505834
2039.529687,200,7.574849
1784.929808,200,7.639833
1884.980633,200,7.729428
1957.609904,200,13.054411
2076.915128,200,13.1318
2094.269393,200,13.200832
2006.707566,200,13.27194
1907.762179,200,13.340933
1916.912802,200,13.416842
2069.623276,200,13.487574
1766.322001,200,13.556567
1944.688419,200,13.627597
1921.106483,200,13.695565
1912.568173,200,13.764193
2022.093988,200,13.833308
2035.87691,200,13.899357
1872.331803,200,13.978965
2069.507131,200,14.049968
1969.162664,200,22.10861
1821.530799,200,22.195917
1895.468202,200,22.276191
1783.487028,200,22.357667
2047.508012,200,22.435593
1974.695085,200,22.561399
1908.561514,200,22.676563
2038.163429,200,22.809058
2025.964927,200,22.900536
1921.260789,200,22.975128
2100.765242,200,23.064144
2087.295653,200,23.151073
1744.238597,200,23.223295
2102.385165,200,23.313545
2076.154524,200,23.423682
1940.341058,200,29.68041
1950.363342,200,29.756366
2073.179447,200,29.825621
2008.206962,200,29.901571
2036.933306,200,29.973028
1957.285531,200,30.047031
1994.203709,200,30.119244
1974.678653,200,30.202334
1935.697935,200,30.278238
2087.243136,200,30.358772
1913.728406,200,30.429515
2131.623542,200,30.499515
1906.694305,200,30.570514
2012.785284,200,30.641517
1800.176659,200,30.709556
1888.154785,200,38.853678
1935.565296,200,38.946774
1860.505887,200,39.061787
1746.341706,200,39.246684
1868.911313,200,39.436666
1808.784752,200,39.626505
1586.848712,200,39.832364
2017.946167,200,39.964368
1941.169835,200,40.107832
2006.58656,200,40.22309
1900.781078,200,40.309203
1904.278753,200,40.412265
1999.65044,200,40.519895
1948.32014,200,40.603893
1965.805636,200,40.728474
1884.14655,200,49.554811
1870.915946,200,49.731419
1943.454365,200,49.910837
1895.443244,200,50.021562
1935.413542,200,50.135477
1857.165163,200,50.252465
2044.378743,200,50.418081
2108.473094,200,50.587558
1764.989154,200,50.719291
1988.89002,200,50.906193
2017.545375,200,51.025255
1778.431351,200,51.17735
1944.185598,200,51.289436
2067.199147,200,51.386358
1980.087212,200,51.468453
2005.149942,200,60.881073
1966.927897,200,61.100653
1862.757053,200,61.191748
1861.965514,200,61.301661
1889.49804,200,61.416748
2040.070383,200,61.528776
2110.615702,200,61.643756
1959.990257,200,61.754857
2006.640911,200,61.854747
1830.380624,200,61.964004
1632.4688,200,62.054522
1742.173245,200,62.158981
1738.898256,200,62.250048
1781.181173,200,62.341295
1862.269042,200,62.453699
1698.872371,200,70.936589
1860.379973,200,71.092578
1761.900454,200,71.267647
1855.654944,200,71.427508
1990.479384,200,71.513418
1803.928178,200,71.678509
1913.455935,200,71.805512
1924.243126,200,71.946419
1828.61049,200,72.104497
1960.561331,200,72.255577
1796.37191,200,72.506689
1851.371819,200,72.613686
1797.061845,200,72.769788
2017.094835,200,72.924505
1893.083708,200,73.048504
2034.224571,200,81.715272
1889.840725,200,81.835172
2039.566446,200,82.016168
1973.962251,200,82.190199
2043.58024,200,82.348201
1738.84506,200,82.439532
1889.576293,200,82.542823
1825.243165,200,82.648837
1985.029122,200,82.788821
2094.76111,200,82.916819
1953.708925,200,83.067924
1868.354601,200,83.24423
1828.920889,200,83.426323
1963.375807,200,83.556226
1712.19516,200,83.686224
1841.177324,200,93.220147
2168.898377,200,93.32515
1976.206489,200,93.486019
2046.33551,200,93.603018
1934.37717,200,93.721361
1889.737268,200,93.867427
1896.376172,200,93.99958
1979.970257,200,94.154304
1980.583777,200,94.270161
2133.833454,200,94.39114
2054.928584,200,94.529726
1893.832618,200,94.839819
1798.435285,200,95.015097
1937.988813,200,95.249187
1858.71359,200,95.386124
2006.178926,200,105.179201
1752.451656,200,105.37278
1994.931813,200,105.510772
1949.840058,200,105.655782
1858.700101,200,105.778006
2031.094012,200,105.897923
2059.262639,200,106.090159
1976.319568,200,106.268776
1981.87548,200,106.366788
1940.011608,200,106.559413
2058.338639,200,106.690323
1767.605731,200,106.843381
2075.688623,200,107.080194
1875.552928,200,107.203513
1760.275314,200,107.325674
1841.510587,200,118.099587
2001.032828,200,118.182584
1776.910332,200,118.334212
1913.587627,200,118.483505
1817.28012,200,118.575513
1935.095004,200,118.677501
2080.733076,200,118.782619
2031.950484,200,118.907448
2045.272133,200,118.990442
1944.832103,200,119.077444
2013.729141,200,119.188673
2118.455993,200,119.311867
2111.353043,200,119.404183
1903.892142,200,119.549305
2049.006302,200,119.632394
1918.359131,200,128.781807
1925.568687,200,128.865799
2132.761193,200,129.018882
1989.411118,200,129.144889
1859.553964,200,129.276793
1992.690087,200,129.397879
1742.812384,200,129.539343
1843.655312,200,129.622426
2063.246254,200,129.738342
1978.223317,200,129.884428
