#{"t_start": 1760351644.3515341, "env_id": "None"}
r,l,t
1243.5,200,145.586802
1168.5,200,147.285424
1224.5,200,147.487571
849.5,200,147.750465
629.5,200,148.024461
654.25,200,148.311646
1095.5,200,148.508354
1327.25,200,148.767047
1228.0,200,148.994584
1335.0,200,149.196831
637.25,200,149.403499
1118.5,200,151.570309
1262.25,200,151.786277
654.25,200,152.007158
856.5,200,152.308718
368.25,200,152.55149
933.75,200,152.821473
1323.5,200,153.115428
1188.25,200,153.428746
419.0,200,153.750717
857.5,200,153.998532
1053.5,200,156.366934
872.0,200,156.61236
1161.25,200,156.845786
819.25,200,157.127008
1316.0,200,159.59299
36.25,200,159.876827
1328.0,200,160.140474
1305.0,200,160.453677
318.75,200,160.680383
1458.0,200,160.933292
643.75,200,161.209618
1011.25,200,163.084061
857.25,200,163.380232
953.0,200,163.677137
927.5,200,163.973825
849.75,200,164.1942
346.75,200,164.409837
1319.5,200,164.677022
707.25,200,164.912277
439.75,200,165.129441
526.0,200,165.418793
1426.5,200,167.061587
733.5,200,167.286795
1053.75,200,167.565373
1288.25,200,167.83733
1033.75,200,168.114649
659.25,200,168.348405
1148.0,200,168.643402
758.75,200,168.955243
1239.75,200,171.697409
1172.5,200,171.96883
954.5,200,174.181385
1311.0,200,174.441324
1405.5,200,174.69032
841.75,200,174.987107
852.75,200,175.249617
763.0,200,175.516839
1004.25,200,175.789569
1032.75,200,176.041749
1221.5,200,176.304351
1265.75,200,176.561258
880.5,200,178.664448
1231.75,200,178.942349
1369.25,200,179.136966
1112.75,200,179.459595
932.25,200,179.766248
1262.75,200,180.012395
-525.75,200,180.231234
1265.0,200,180.482732
571.0,200,180.730591
1373.0,200,180.982449
620.25,200,181.302643
691.5,200,183.552686
1003.75,200,183.911234
875.5,200,186.363441
152.0,200,186.63057
-86.5,200,186.89693
887.5,200,187.116202
1338.25,200,187.318415
1121.75,200,187.530584
1314.75,200,187.753339
1179.75,200,188.002888
424.75,200,190.171733
1295.75,200,190.431582
974.25,200,190.681762
730.75,200,190.993642
1320.25,200,191.289433
1320.25,200,191.552636
1082.5,200,191.766833
1306.5,200,192.007395
639.75,200,192.321438
1277.75,200,192.545784
1396.25,200,194.609345
348.25,200,194.822402
692.25,200,195.023651
768.0,200,195.308346
1335.5,200,195.599592
1376.25,200,195.888557
1261.0,200,196.182477
1007.25,200,198.827175
448.0,200,199.06678
1305.0,200,199.377365
1177.5,200,201.596898
1178.0,200,201.861486
1213.75,200,202.139681
1408.75,200,202.388224
1161.0,200,202.641337
731.75,200,202.89359
1354.0,200,203.109375
783.25,200,203.397119
1069.5,200,203.634437
389.75,200,203.93711
597.75,200,204.175857
915.25,200,206.694224
77.75,200,206.976319
819.5,200,207.186118
769.5,200,207.406416
822.25,200,207.699353
-56.5,200,207.947104
1443.75,200,208.172706
645.75,200,208.493469
1437.75,200,208.749559
1308.0,200,209.03161
1199.25,200,211.245994
1233.5,200,214.10528
950.5,200,214.353946
400.0,200,214.593438
1206.5,200,214.810422
766.0,200,215.053628
1232.25,200,215.278594
774.75,200,215.519641
1153.0,200,215.840817
792.25,200,216.082481
503.5,200,218.594689
319.5,200,218.867188
1378.5,200,219.249612
618.75,200,219.519719
996.0,200,219.75696
988.0,200,219.987259
1324.0,200,220.254461
1310.0,200,220.508698
1214.5,200,220.746934
944.75,200,220.966942
760.5,200,223.112529
478.0,200,223.353688
426.5,200,223.58053
1192.5,200,223.830623
1135.0,200,224.113957
268.75,200,224.38044
805.5,200,228.483584
1057.5,200,228.908964
1179.0,200,229.282248
1034.25,200,229.625591
1210.5,200,229.885766
1273.0,200,232.731743
1112.0,200,233.087189
1272.25,200,233.505624
1155.25,200,234.054303
1157.5,200,234.399368
1264.25,200,234.650592
1270.75,200,235.050282
875.0,200,235.309252
807.5,200,235.623602
1403.75,200,235.865227
1328.25,200,238.297097
1338.75,200,238.562286
1290.25,200,238.811202
988.75,200,239.033217
1185.25,200,239.470446
180.25,200,239.712304
703.25,200,239.926722
822.5,200,240.135897
1192.5,200,240.449216
537.0,200,240.690356
1098.75,200,244.636744
1223.0,200,244.881357
986.0,200,245.108711
563.75,200,245.321385
757.75,200,245.589719
1164.5,200,246.115904
154.75,200,246.532763
1337.75,200,246.814435
501.5,200,247.109506
1264.0,200,247.388458
1220.25,200,249.912365
1167.5,200,250.207102
1120.75,200,250.512707
654.75,200,250.824327
1172.25,200,251.149736
1327.75,200,251.430785
1013.25,200,251.710609
1002.0,200,251.941709
270.75,200,252.144295
799.75,200,252.360573
306.75,200,252.591812
909.5,200,254.779452
1245.5,200,254.99823
1367.75,200,255.213381
1379.0,200,255.439266
1377.25,200,257.983474
1166.0,200,258.204288
434.0,200,258.428639
986.0,200,258.651392
867.5,200,258.920666
991.5,200,259.232711
813.0,200,261.054538
1161.75,200,261.344476
875.75,200,261.714391
1014.0,200,261.925893
1380.5,200,262.181318
1387.0,200,262.414368
1190.5,200,262.623682
767.25,200,262.953716
982.75,200,263.260723
1147.75,200,263.541699
1416.5,200,265.769384
821.0,200,265.979734
1213.25,200,266.262488
863.25,200,266.48846
1405.5,200,266.807079
831.25,200,267.071341
1119.25,200,267.353398
1088.5,200,267.603727
1087.75,200,267.829764
1258.5,200,270.484448
1285.75,200,272.662537
1238.75,200,272.892559
1031.5,200,273.126783
1356.75,200,273.419486
1360.5,200,273.644221
1070.75,200,273.902597
154.25,200,274.199369
473.75,200,274.463512
645.25,200,274.742493
1376.75,200,274.963609
772.0,200,275.212371
1359.25,200,277.096974
1334.25,200,277.306715
708.25,200,277.536923
1224.5,200,277.935484
1376.75,200,278.150344
417.25,200,278.438461
932.75,200,278.681619
865.75,200,278.918776
887.25,200,279.140348
1353.75,200,279.43179
275.25,200,281.441382
718.0,200,281.655466
1202.25,200,281.939348
604.5,200,284.573325
513.25,200,284.937147
1281.75,200,285.159383
1364.75,200,285.353642
1379.0,200,285.569392
445.25,200,285.872369
1035.0,200,286.171381
952.5,200,288.200331
1189.75,200,288.482475
1252.0,200,288.76875
1401.5,200,289.118378
1301.0,200,289.382679
1231.25,200,289.622762
785.5,200,289.832747
518.25,200,290.098684
1337.5,200,290.430403
693.0,200,290.654626
1025.0,200,292.966852
737.75,200,293.237037
1318.25,200,293.486717
1209.0,200,293.805368
1067.75,200,294.035409
944.0,200,294.313262
1230.0,200,294.544475
819.0,200,294.805895
1111.25,200,297.627207
824.75,200,297.876311
1169.5,200,299.136945
442.0,200,299.386975
915.25,200,299.590672
1266.75,200,299.918767
1330.5,200,300.166882
873.25,200,300.418655
1165.5,200,300.62825
1227.5,200,300.8703
1427.0,200,301.109241
806.25,200,301.369317
1242.25,200,301.640626
1266.0,200,303.882544
1408.75,200,304.130686
1327.5,200,304.371305
1334.25,200,304.61715
1351.25,200,304.908367
1325.25,200,305.142398
1415.5,200,305.351632
530.25,200,305.579379
1133.0,200,305.788512
292.25,200,306.093567
1263.25,200,308.043743
1192.75,200,308.269451
782.5,200,311.141484
1064.75,200,311.380326
1197.5,200,311.619353
1129.5,200,311.824323
1320.75,200,312.031604
1442.0,200,312.263589
270.0,200,312.490255
1124.75,200,312.790899
793.25,200,315.254467
1317.25,200,315.501386
1155.5,200,315.761417
927.0,200,316.007284
1417.25,200,316.251232
1351.0,200,316.520557
944.5,200,316.874561
1045.5,200,317.110388
1123.75,200,317.307205
1190.75,200,317.586223
1296.0,200,318.302324
888.0,200,318.676848
1053.25,200,319.005296
1052.0,200,319.282554
1258.5,200,319.63452
1225.75,200,319.93119
1288.5,200,320.137045
-14.25,200,322.8027
532.5,200,323.060688
1407.0,200,323.314494
511.0,200,323.598539
910.25,200,325.652494
1240.0,200,325.929319
1309.75,200,326.138666
1108.0,200,326.372648
1435.25,200,326.623373
796.5,200,326.847208
1234.25,200,327.097113
1177.25,200,327.34699
1099.5,200,327.580438
1360.5,200,327.785947
1183.75,200,330.009696
1364.25,200,330.240666
1351.75,200,330.49699
1195.75,200,330.776972
1425.25,200,331.003241
1138.0,200,331.235635
1214.5,200,331.45584
1146.5,200,331.682505
488.25,200,331.943621
1092.75,200,332.169507
916.25,200,334.676902
1454.5,200,337.786894
1173.25,200,338.040586
1098.0,200,338.278622
912.5,200,338.564426
1124.25,200,338.883652
1057.25,200,339.199333
1310.0,200,339.521276
839.0,200,339.86624
1188.0,200,340.186049
977.0,200,342.648202
