#{"t_start": 1761608391.2450187, "env_id": "None"}
r,l,t
1986.166463,200,17.966524
1977.996319,200,18.102292
1995.691162,200,18.228958
1946.072429,200,18.356296
1990.649309,200,18.621511
2031.638595,200,47.2836
1995.16442,200,47.60117
2020.854888,200,47.906445
2018.379717,200,48.203387
2029.921694,200,48.459898
2022.092418,200,82.3922
2067.125196,200,82.611235
2056.286147,200,82.845704
2055.730224,200,83.023956
2066.870793,200,83.180364
2053.60593,200,111.067908
2080.617717,200,111.485698
2003.253883,200,111.911482
2017.221896,200,112.306195
2031.882392,200,112.715295
2069.771625,200,153.259603
1998.635964,200,153.546659
2067.822467,200,153.817307
2070.194042,200,154.030631
2056.168179,200,154.206246
2083.516363,200,190.478968
2087.515906,200,190.90002
2029.15608,200,191.234374
2036.175764,200,191.48135
2095.395398,200,191.744977
2034.926416,200,225.867726
2078.656997,200,226.186269
2061.991693,200,226.478739
2066.95095,200,226.713953
2053.559981,200,226.956283
2036.582036,200,259.161026
2061.669434,200,259.395489
2027.89125,200,259.658683
2041.151955,200,259.963037
2046.126549,200,260.249862
2009.749209,200,285.567938
2018.911771,200,285.816252
2048.666447,200,286.026457
2022.59846,200,286.207233
2065.726848,200,286.383304
2043.152798,200,309.625675
2055.925376,200,309.832577
2047.172106,200,310.054185
2025.634573,200,310.254549
2054.496704,200,310.419878
2017.060807,200,345.880773
2016.179906,200,346.235188
2050.228556,200,346.555678
2048.289092,200,346.863496
2066.509079,200,347.156948
2044.821722,200,374.68165
2045.248247,200,374.878142
2012.632729,200,375.08432
2061.446091,200,375.231449
2073.572081,200,375.368724
2038.778491,200,399.18472
2055.572996,200,399.391123
2040.509867,200,399.582158
2077.816771,200,399.81057
2025.512251,200,400.079838
2071.343525,200,458.958554
2076.575398,200,459.380811
2060.383578,200,459.867902
2039.494102,200,460.360836
2041.237146,200,460.821527
2026.64923,200,518.260252
2043.949789,200,518.711455
2037.083955,200,519.183089
2050.257872,200,519.604229
2070.371159,200,520.170255
2041.591543,200,579.66
2050.411911,200,580.181262
2053.060441,200,580.751004
2037.324986,200,581.195149
2052.925972,200,581.620003
2018.743461,200,641.486849
1954.43681,200,642.087978
1952.241192,200,642.777157
2022.020398,200,643.285943
1989.239957,200,643.987894
1982.894428,200,701.207739
2000.083304,200,701.698109
1983.663403,200,702.125759
2029.488275,200,702.686419
1948.404645,200,703.11351
1994.934013,200,767.844038
2026.044158,200,768.359187
1978.5063,200,768.850164
2006.253523,200,769.315505
1964.321733,200,769.786639
1945.499301,200,829.612358
1988.488107,200,830.057862
1966.270779,200,830.618051
2011.143345,200,831.093771
1996.164002,200,831.555957
1960.927354,200,895.680128
1985.52982,200,896.16712
2027.862457,200,896.618428
2012.750513,200,897.072203
1998.790192,200,897.545215
1974.893985,200,955.509289
1987.135458,200,956.052072
1951.395533,200,956.572279
1972.867519,200,957.098144
2006.79947,200,957.578153
1956.798122,200,1015.394035
1980.110817,200,1015.901277
1955.648133,200,1016.398089
2005.307572,200,1017.056985
2033.225244,200,1017.546868
1959.287633,200,1076.281189
1954.256386,200,1076.768545
1969.623824,200,1077.263866
1971.314653,200,1077.878556
1992.832736,200,1078.472326
1975.595307,200,1135.644886
1974.820334,200,1136.156608
1960.931409,200,1136.673879
1942.697693,200,1137.23502
1973.33277,200,1137.82984
2000.562251,200,1191.364067
1979.763691,200,1191.858309
1972.360476,200,1192.343329
2010.706054,200,1192.813513
1999.428031,200,1193.34929
1983.319595,200,1251.900957
2000.444199,200,1252.358735
1925.511445,200,1252.834707
1994.761919,200,1253.423921
1950.490434,200,1253.932953
1973.869334,200,1311.358651
1941.903484,200,1311.84113
1868.763242,200,1312.372245
1803.826428,200,1312.854112
1936.627354,200,1313.260114
1983.346632,200,1372.054639
1995.947732,200,1372.540609
1923.923939,200,1372.979486
1916.748275,200,1373.442534
1855.823579,200,1373.874028
1976.644931,200,1431.891986
1960.309302,200,1432.295956
1945.9628,200,1432.763388
1993.379234,200,1433.256512
1992.052786,200,1433.692037
1992.558122,200,1492.126103
1975.939687,200,1492.587956
1975.566343,200,1493.047273
1986.542192,200,1493.513061
1981.8111,200,1494.15485
2007.395947,200,1551.901324
2013.677069,200,1552.36964
1967.36266,200,1552.835807
1989.225435,200,1553.300087
1964.460542,200,1553.773121
1958.291428,200,1611.67395
1967.692905,200,1612.163349
2020.850029,200,1612.63566
2008.374855,200,1613.128346
1993.51482,200,1613.604715
2013.643655,200,1671.946333
1942.27672,200,1672.445507
1930.152759,200,1672.925373
1997.933867,200,1673.444402
1962.842156,200,1674.052405
1972.598781,200,1734.572331
2024.36846,200,1735.096013
2030.886979,200,1735.619704
2039.010749,200,1736.115799
2021.573863,200,1736.645173
2032.768735,200,1799.521182
2044.481578,200,1800.038226
2046.819275,200,1800.606451
2089.310094,200,1801.043718
2071.08409,200,1801.544704
2040.877737,200,1873.187013
2041.430217,200,1873.6863
2016.428163,200,1874.184689
2010.095448,200,1874.636517
2041.409983,200,1875.135856
1991.711657,200,1934.701863
2001.239093,200,1935.151254
2050.125796,200,1935.59793
2093.742916,200,1936.160506
2090.652168,200,1936.682761
2059.611753,200,1995.503635
2030.355062,200,1996.039829
2032.774694,200,1996.521965
2054.205194,200,1997.104613
1999.912968,200,1997.623434
2043.577473,200,2059.668755
2037.923521,200,2060.196468
2014.004277,200,2060.660865
2068.407158,200,2061.124101
2045.767604,200,2061.642798
2038.304881,200,2120.730162
2042.109402,200,2121.27621
2051.373865,200,2121.91368
2029.687955,200,2122.348119
2049.552348,200,2122.852792
2043.106338,200,2179.614306
2067.862329,200,2180.109673
2037.694076,200,2180.615758
2038.521988,200,2181.101532
2083.152531,200,2181.700639
2061.515778,200,2234.328183
2037.015574,200,2234.757932
2011.229074,200,2235.212389
2071.700789,200,2235.793141
2036.649381,200,2236.265519
2040.537586,200,2293.415543
2061.047676,200,2293.858622
2045.291378,200,2294.327964
2068.906617,200,2294.815904
2070.512508,200,2295.371105
2027.537067,200,2352.99133
2034.112026,200,2353.544549
2081.708838,200,2353.982284
2013.030356,200,2354.477069
2063.613283,200,2355.024861
2063.363859,200,2414.222576
2047.543053,200,2414.811794
2044.704638,200,2415.304432
2044.96205,200,2415.72894
2075.577252,200,2416.265985
2084.258012,200,2475.382541
2054.334751,200,2476.03662
2048.500673,200,2476.588876
2030.405717,200,2477.078341
2072.78268,200,2477.546674
2056.360792,200,2536.43836
2019.114094,200,2536.956304
2005.30411,200,2537.426783
2060.053481,200,2537.875208
2049.734924,200,2538.362843
2025.381632,200,2596.225491
2064.998003,200,2596.659574
1995.349023,200,2597.141498
1996.131497,200,2597.548776
2045.646034,200,2598.014384
2083.081677,200,2654.606098
2023.897348,200,2655.07068
2070.5763,200,2655.529462
2039.293042,200,2656.028417
2071.299144,200,2656.579561
2083.598214,200,2715.530014
2046.201399,200,2716.092533
2048.071483,200,2716.657804
2045.031027,200,2717.132389
2033.901638,200,2717.654932
2033.291543,200,2770.826925
2044.976776,200,2771.36263
2083.299319,200,2771.941022
2038.15511,200,2772.405164
2070.970878,200,2772.842778
2060.483109,200,2831.506561
2066.182998,200,2832.031214
2045.092088,200,2832.519701
2065.70675,200,2832.969038
2057.437623,200,2833.445984
2043.818418,200,2890.906181
2057.438236,200,2891.465804
2021.992569,200,2891.98995
2041.550555,200,2892.534958
2074.09128,200,2893.106494
2033.243014,200,2951.768185
2063.320345,200,2952.268282
2052.454943,200,2952.732961
2060.536343,200,2953.238805
2012.559001,200,2953.69666
2064.196102,200,3015.310715
2050.598476,200,3015.87619
2061.801632,200,3016.498396
2042.070306,200,3017.106696
2007.830787,200,3017.598161
2010.319921,200,3074.838684
2069.246698,200,3075.328131
2041.439257,200,3076.158654
2047.949115,200,3076.666808
2047.078363,200,3077.190372
2058.217147,200,3136.530835
2043.372261,200,3137.051475
2059.312418,200,3137.51908
2053.985229,200,3138.025103
2034.778987,200,3138.507771
2049.827849,200,3198.200085
2043.428698,200,3198.856104
2068.951403,200,3199.37247
2070.272087,200,3199.892568
2042.321696,200,3200.382141
2032.825778,200,3255.848291
2053.05868,200,3256.323613
2057.652901,200,3256.874272
2073.902369,200,3257.3256
2028.982863,200,3257.829725
2080.894807,200,3318.453017
2025.420272,200,3318.96954
2022.713228,200,3319.547856
2059.828782,200,3320.182691
2054.510612,200,3320.786174
2019.830995,200,3384.203012
2062.017365,200,3384.678566
2091.077782,200,3385.167866
2030.946926,200,3385.679994
2051.20917,200,3386.207103
2025.893863,200,3444.793345
2033.334815,200,3445.405044
2069.491808,200,3445.920739
2072.729426,200,3446.396295
2052.092056,200,3446.871771
2075.74222,200,3505.84906
2042.198409,200,3506.355738
2050.239575,200,3506.798881
2069.447606,200,3507.26926
2007.018395,200,3507.761795
2048.18896,200,3567.703848
2034.939949,200,3568.191876
2018.051588,200,3568.658512
2057.329275,200,3569.15567
2063.677835,200,3569.615725
2057.184585,200,3657.238759
2059.474371,200,3657.79752
2103.404693,200,3658.857478
2033.660593,200,3659.676364
2018.312754,200,3660.442273
2045.720143,200,3744.186207
2064.494041,200,3744.983896
2034.158188,200,3745.840737
2027.005512,200,3746.407609
2034.470339,200,3747.138791
2020.752932,200,3830.190679
2035.209907,200,3830.853042
2041.035999,200,3831.855175
2048.612885,200,3832.487482
2063.502859,200,3833.126478
2019.150445,200,3907.978904
2000.488882,200,3908.54466
1992.857988,200,3910.139613
1985.80616,200,3910.736147
2034.801461,200,3911.307714
2053.040198,200,3979.715767
2055.246554,200,3980.250419
2029.66514,200,3980.79697
2063.256744,200,3981.454658
2073.555903,200,3981.918974
2019.327187,200,4040.172139
2049.984377,200,4040.638026
2034.408021,200,4041.227488
2077.396682,200,4041.702844
2025.035494,200,4042.145279
2009.215487,200,4105.977546
2052.683807,200,4106.552018
2056.761067,200,4106.992056
2061.448452,200,4107.451359
2019.608486,200,4107.909143
2067.996127,200,4166.153533
2079.801726,200,4166.679788
2066.90265,200,4167.170097
2068.906684,200,4167.871086
2007.65029,200,4168.362396
2058.664722,200,4227.339469
2074.164701,200,4227.807236
2030.671295,200,4228.230469
2073.05406,200,4228.695972
2048.437301,200,4229.157505
2016.231809,200,4286.422027
2056.203336,200,4286.876159
2060.145029,200,4287.321133
2041.016431,200,4287.784083
2043.592735,200,4288.262922
2054.80828,200,4347.259181
2052.111894,200,4347.782764
2043.013932,200,4348.273836
2037.473259,200,4348.775407
2025.252522,200,4349.308501
2040.337237,200,4402.631778
2022.047846,200,4403.125383
2040.685499,200,4403.60498
2035.701915,200,4404.093836
2032.725586,200,4404.630013
2043.586233,200,4461.889931
2052.324815,200,4462.33148
2073.194379,200,4462.773627
2038.731228,200,4463.195679
2066.720499,200,4463.710698
2074.009698,200,4521.701757
2039.773025,200,4522.209582
2035.281091,200,4522.730307
2059.969287,200,4523.177634
2070.941989,200,4523.702646
2071.020226,200,4580.461964
2063.188388,200,4580.978594
2027.510979,200,4581.513779
2016.15634,200,4582.039188
2063.887765,200,4582.545346
2056.726916,200,4646.55425
2084.506377,200,4647.012078
2047.841996,200,4647.470325
2014.546259,200,4647.927453
2035.547996,200,4648.378641
2078.594865,200,4706.627572
2034.202619,200,4707.113136
2036.218676,200,4707.597255
2032.232129,200,4708.058366
2023.684067,200,4708.659953
2067.989629,200,4768.822182
2020.551509,200,4769.291648
2050.354573,200,4769.761995
2102.71061,200,4770.235579
2025.722904,200,4770.691525
2031.821433,200,4827.958848
2042.592208,200,4828.672387
2006.212411,200,4829.254558
1984.803365,200,4829.724563
2057.020528,200,4830.191564
2055.260138,200,4891.698393
2068.583076,200,4892.177718
2065.648029,200,4892.657505
2058.775166,200,4893.109057
2044.38011,200,4893.678366
2035.929564,200,4949.443721
2055.583386,200,4949.898391
1983.525313,200,4950.421095
2061.462317,200,4950.910746
2050.988865,200,4951.401755
2064.404845,200,5011.259241
2045.645296,200,5011.727348
2080.188322,200,5012.169415
2023.994181,200,5012.693603
2043.156343,200,5013.164575
2026.289021,200,5074.664607
2052.178291,200,5075.15964
2058.521497,200,5075.655125
2033.347778,200,5076.150465
2058.349138,200,5076.61254
2024.260449,200,5134.003577
2041.597968,200,5134.505822
2080.210503,200,5134.95684
2049.994334,200,5135.42768
2058.025233,200,5135.871977
2052.357608,200,5193.891988
2054.604455,200,5194.39221
2068.605872,200,5194.911817
2071.250961,200,5195.394486
2040.424208,200,5195.871848
1996.80044,200,5257.145342
2032.924683,200,5257.645937
2023.075592,200,5258.184063
2062.565005,200,5258.689645
2085.172695,200,5259.248954
2021.806952,200,5319.454489
2060.218709,200,5319.927567
2055.290041,200,5320.536717
2063.434651,200,5321.030751
2057.884352,200,5321.47194
2002.586762,200,5378.737817
2047.917572,200,5379.199738
2049.526205,200,5380.148306
