#{"t_start": 1761638956.0967636, "env_id": "None"}
r,l,t
1988.031454,200,46.952145
1973.818465,200,47.374417
1957.598768,200,47.784784
1939.708175,200,48.153809
1925.905195,200,48.535636
2027.418082,200,94.734039
2031.468296,200,95.06861
2052.613223,200,95.400618
2054.021966,200,95.741089
2028.080201,200,96.107755
2004.303638,200,138.608694
1978.468248,200,138.906222
1980.023693,200,139.221076
2025.732849,200,139.514644
2019.549114,200,139.807312
1984.31528,200,181.040544
2005.13396,200,181.329633
1985.753263,200,181.611609
2012.308694,200,181.869621
1984.74961,200,182.360432
2048.954808,200,217.191444
2069.743313,200,217.465482
2031.970457,200,217.852714
2055.761366,200,218.201493
2050.795276,200,218.511831
2068.271573,200,261.693923
2087.69787,200,262.010527
2019.612259,200,262.311527
2036.569983,200,262.568931
2065.426182,200,262.848544
2066.812478,200,301.75399
2050.93392,200,302.058869
2051.198655,200,302.343084
2046.76369,200,302.599818
2028.10228,200,302.867509
2055.840503,200,341.566998
2045.822066,200,341.932563
2083.173169,200,342.23558
2046.051214,200,342.521722
1987.577412,200,342.862829
2030.457133,200,377.631623
2045.413036,200,377.899739
2037.853587,200,378.19475
2043.064039,200,378.491906
2070.999621,200,378.78543
2045.266994,200,416.800917
2051.090434,200,417.148644
2040.007659,200,417.523232
2040.188601,200,417.937259
2025.951517,200,418.326049
2044.021183,200,456.662778
2049.859494,200,456.942736
2054.504663,200,457.210557
2052.826185,200,457.494805
2039.938748,200,457.738814
2019.775597,200,497.560942
2035.206147,200,497.850045
2028.639503,200,498.162513
2059.456979,200,498.422672
2022.466088,200,498.687179
2023.09661,200,538.314506
2039.191197,200,538.625763
2057.092693,200,538.891692
2004.148127,200,539.167645
2039.653587,200,539.494012
1970.59911,200,579.266497
2002.93011,200,579.54056
2007.717637,200,579.805352
2031.865473,200,580.082683
1970.323937,200,580.459193
2046.474067,200,615.776554
2046.774078,200,616.072739
2047.242795,200,616.355335
2061.422917,200,616.629996
2057.766452,200,616.92855
2072.76583,200,661.931514
2054.505463,200,662.227543
2045.932552,200,662.513697
2042.848496,200,662.803292
2049.571439,200,663.062613
2027.291843,200,700.958453
2055.168643,200,701.377895
2076.213664,200,701.874955
2031.157331,200,702.467727
2028.706682,200,702.934533
2025.282191,200,736.792429
2037.967945,200,737.082711
2003.066223,200,737.360612
2054.815682,200,737.63701
2054.307874,200,737.904722
2048.639509,200,772.700308
2065.654408,200,773.026712
1999.243925,200,773.321075
2004.250259,200,773.600853
2010.970243,200,773.894574
1956.043384,200,797.472769
1948.997734,200,797.661038
1983.437088,200,797.84773
1949.944787,200,798.022634
1931.789716,200,798.22163
1964.063529,200,830.225699
1968.508088,200,830.433199
1973.209069,200,830.62878
1993.957468,200,830.907698
1963.118885,200,831.212662
2030.096173,200,865.837927
2000.507952,200,866.160825
2047.804622,200,866.612654
2058.916619,200,867.00286
2063.74764,200,867.407992
2013.694523,200,892.445901
2017.51831,200,892.576023
2008.123718,200,892.689316
1975.797314,200,892.84593
2009.863481,200,893.004733
1939.032157,200,919.622744
