#{"t_start": 1761633179.7101505, "env_id": "None"}
r,l,t
1974.744361,200,22.405546
1980.107763,200,22.530703
1961.144445,200,22.687259
1959.842514,200,22.88194
1973.607775,200,23.037606
2026.856569,200,39.345356
2017.541936,200,39.439263
2096.824993,200,39.536683
2031.250141,200,39.627133
2030.604459,200,39.71762
1963.079968,200,55.541326
1947.456461,200,55.689632
2021.236872,200,55.810749
1995.581688,200,55.945647
2025.919973,200,56.066034
1932.303107,200,71.865147
1960.780305,200,72.014879
1941.153547,200,72.136066
2012.067113,200,72.247303
1981.691036,200,72.338545
2007.968994,200,86.348225
2017.736315,200,86.473004
2008.224037,200,86.563731
1997.826189,200,86.705721
1997.632079,200,86.800967
1962.416023,200,100.844597
1979.779567,200,100.938428
1992.077235,200,101.050873
2018.270592,200,101.151274
1995.964849,200,101.251028
1985.132846,200,116.932308
1988.858657,200,117.049095
2006.777981,200,117.155495
2006.591981,200,117.273253
2013.297609,200,117.387952
2034.669921,200,138.743391
2002.24279,200,138.957608
2032.665249,200,139.169491
2008.427996,200,139.378704
2014.527131,200,139.537066
2053.172898,200,159.756143
2001.862381,200,160.009265
2028.015082,200,160.25582
1981.187088,200,160.511652
2016.985639,200,160.758331
2024.252471,200,186.627209
1994.50225,200,186.837128
1993.782744,200,187.045368
2020.448611,200,187.197626
1998.439197,200,187.309669
2016.458225,200,206.726703
2009.182613,200,206.82615
2022.468022,200,206.929108
1993.527748,200,207.029478
2020.250941,200,207.129296
2007.371727,200,222.066856
2014.547491,200,222.160415
1955.724981,200,222.262305
1983.075767,200,222.354719
1994.844079,200,222.446238
1996.238968,200,237.071613
1957.515635,200,237.169122
1987.450831,200,237.264166
1999.381572,200,237.360291
1978.044702,200,237.465976
1978.396077,200,251.927807
1991.454236,200,252.019415
2006.088104,200,252.147358
1969.318222,200,252.275223
1996.467462,200,252.380291
2075.327846,200,265.421848
2041.142128,200,265.543149
2083.662857,200,265.66486
2068.192093,200,265.770982
2104.927586,200,265.872175
2048.122213,200,285.214768
2047.941561,200,285.391325
2069.288904,200,285.661845
2045.409124,200,285.865693
2048.779215,200,286.097798
2047.424244,200,304.59111
2034.559896,200,304.798027
2047.82397,200,304.950092
2041.886147,200,305.078681
2054.855132,200,305.256057
2005.271139,200,323.540882
2017.563559,200,323.719455
1993.028881,200,323.819253
2063.580932,200,323.956308
2025.300754,200,324.155781
2030.336367,200,344.5467
2053.854948,200,344.699711
2060.769101,200,344.900642
2072.819842,200,345.098053
2073.108721,200,345.235659
2045.990148,200,365.049046
2009.545897,200,365.19979
2084.770372,200,365.380738
2049.517059,200,365.497888
2046.941925,200,365.621002
2054.728195,200,392.200408
2045.716333,200,392.403211
2000.230234,200,392.56139
2030.606238,200,392.712786
2085.516424,200,392.833935
2047.114229,200,412.444012
2078.366968,200,412.570853
2034.566404,200,412.774483
2067.446381,200,412.968646
2043.546185,200,413.127388
2033.781228,200,431.510993
2021.393488,200,431.699991
2093.622272,200,431.890354
2049.735826,200,432.113494
2033.755536,200,432.293836
2041.578778,200,451.20631
2019.925443,200,451.369962
2064.710629,200,451.590252
2031.474238,200,451.790473
2041.395357,200,451.983773
2018.244967,200,471.350641
2065.03795,200,471.502637
2048.590453,200,471.684257
2040.507053,200,471.835424
2052.544861,200,471.988657
2034.179604,200,489.866477
2073.031702,200,490.045775
2039.805033,200,490.237264
2054.884227,200,490.34437
2031.146293,200,490.504211
2020.430735,200,509.512104
2041.819141,200,509.722445
2005.059627,200,509.864197
2019.239053,200,510.047215
2023.417877,200,510.221088
2037.059147,200,530.430969
2011.115504,200,530.539329
2060.197968,200,530.723432
2017.946145,200,530.923733
2040.060191,200,531.110651
2042.098547,200,550.045514
2010.673443,200,550.172943
2045.670514,200,550.292666
2041.532778,200,550.469098
2053.160146,200,550.636477
2005.911312,200,569.768062
2015.125893,200,569.883238
2044.789433,200,570.087485
2032.723278,200,570.28222
2047.084312,200,570.511149
2018.805525,200,590.7565
2048.633904,200,590.88839
2035.276694,200,591.018001
2053.533723,200,591.203225
2008.834432,200,591.362774
1920.658349,200,609.807086
2021.581423,200,609.974748
